RecordID	GWC	Plot	Labeling	Harvest	Isotope	Water
189	0.049206349	P13	L2	T2	C12	half
190	0.046961326	P14	L2	T2	C12	full
191	0.07182436	P15	L2	T2	C12	full
192	0.023219814	P16	L2	T2	C12	full
193	0.218708186	P01	L3	T0	C13	full
194	0.208363548	P02	L3	T0	C13	half
195	0.240138494	P03	L3	T0	C13	full
196	0.2212162	P04	L3	T0	C13	half
197	0.241353755	P05	L3	T0	C13	half
198	0.251937016	P06	L3	T0	C13	full
199	0.222614841	P07	L3	T0	C13	full
200	0.225134738	P08	L3	T0	C13	full
201	0.222671569	P09	L3	T0	C13	half
202	0.228690739	P10	L3	T0	C13	half
203	0.20244663	P11	L3	T0	C13	half
204	0.208182912	P12	L3	T0	C13	half
205	0.204829409	P13	L3	T0	C13	half
206	0.266523442	P14	L3	T0	C13	full
207	0.199378808	P15	L3	T0	C13	full
208	0.236770524	P16	L3	T0	C13	full
209	0.213210296	P01	L3	T0	C12	full
210	0.183011948	P02	L3	T0	C12	half
211	0.286339079	P03	L3	T0	C12	full
212	0.222045705	P04	L3	T0	C12	half
213	0.259175465	P05	L3	T0	C12	half
214	0.25294265	P06	L3	T0	C12	full
215	0.235592382	P07	L3	T0	C12	full
216	0.239469772	P08	L3	T0	C12	full
217	0.232417785	P09	L3	T0	C12	half
218	0.209584434	P10	L3	T0	C12	half
219	0.16790871	P11	L3	T0	C12	half
220	0.200334288	P12	L3	T0	C12	half
221	0.191732003	P13	L3	T0	C12	half
222	0.194646044	P14	L3	T0	C12	full
223	0.222520762	P15	L3	T0	C12	full
224	0.197011357	P16	L3	T0	C12	full
225	0.205254911	P01	L3	T1	C13	full
226	0.173295788	P02	L3	T1	C13	half
227	0.202379429	P03	L3	T1	C13	full
228	0.212856277	P04	L3	T1	C13	half
229	0.231650246	P05	L3	T1	C13	half
230	0.236523244	P06	L3	T1	C13	full
231	0.203804021	P07	L3	T1	C13	full
232	0.201609996	P08	L3	T1	C13	full
233	0.212389381	P09	L3	T1	C13	half
234	0.180519481	P10	L3	T1	C13	half
235	0.116917923	P11	L3	T1	C13	half
236	0.177516186	P12	L3	T1	C13	half
237	0.167639505	P13	L3	T1	C13	half
238	0.185958254	P14	L3	T1	C13	full
239	0.203634613	P15	L3	T1	C13	full
240	0.196672253	P16	L3	T1	C13	full
241	0.218201754	P01	L3	T1	C12	full
242	0.19760479	P02	L3	T1	C12	half
243		P03	L3	T1	C12	full
244	0.241709104	P04	L3	T1	C12	half
245	0.328110477	P05	L3	T1	C12	half
246	0.23685838	P06	L3	T1	C12	full
247	0.227512578	P07	L3	T1	C12	full
248	0.235424901	P08	L3	T1	C12	full
249	0.233349778	P09	L3	T1	C12	half
250	0.18623962	P10	L3	T1	C12	half
251	0.178057978	P11	L3	T1	C12	half
252	0.207654232	P12	L3	T1	C12	half
253	0.169219974	P13	L3	T1	C12	half
254	0.184553423	P14	L3	T1	C12	full
255	0.23857868	P15	L3	T1	C12	full
256	0.230589393	P16	L3	T1	C12	full
257	0.094938767	P01	L3	T2	C13	full
258	0.158285335	P02	L3	T2	C13	half
259	0.174638736	P03	L3	T2	C13	full
260	0.157918863	P04	L3	T2	C13	half
261	0.152049989	P05	L3	T2	C13	half
262	0.148917069	P06	L3	T2	C13	full
263	0.20581605	P07	L3	T2	C13	full
264	0.165460186	P08	L3	T2	C13	full
265	0.174104046	P09	L3	T2	C13	half
266	0.157936329	P10	L3	T2	C13	half
267	0.056354167	P11	L3	T2	C13	half
268	0.072938468	P12	L3	T2	C13	half
269	0.158461366	P13	L3	T2	C13	half
270	0.092402881	P14	L3	T2	C13	full
271	0.252065621	P15	L3	T2	C13	full
272	0.174991838	P16	L3	T2	C13	full
273	0.160620053	P01	L3	T2	C12	full
274	0.107441516	P02	L3	T2	C12	half
275	0.158091568	P03	L3	T2	C12	full
276	0.106780393	P04	L3	T2	C12	half
277	0.1177107	P05	L3	T2	C12	half
278	0.190132651	P06	L3	T2	C12	full
279	0.14160401	P07	L3	T2	C12	full
280	0.174727168	P08	L3	T2	C12	full
281	0.131776113	P09	L3	T2	C12	half
282	0.140183736	P10	L3	T2	C12	half
283	0.112862057	P11	L3	T2	C12	half
284	0.146451329	P12	L3	T2	C12	half
285	0.078341014	P13	L3	T2	C12	half
286	0.152339378	P14	L3	T2	C12	full
287	0.118069927	P15	L3	T2	C12	full
288	0.140793011	P16	L3	T2	C12	full
289		P01	L4	T0	C13	full
290		P02	L4	T0	C13	half
291		P03	L4	T0	C13	full
292		P04	L4	T0	C13	half
293		P05	L4	T0	C13	half
294		P06	L4	T0	C13	full
295		P07	L4	T0	C13	full
296		P08	L4	T0	C13	full
297		P09	L4	T0	C13	half
298		P10	L4	T0	C13	half
299		P11	L4	T0	C13	half
300		P12	L4	T0	C13	half
301		P13	L4	T0	C13	half
302		P14	L4	T0	C13	full
303		P15	L4	T0	C13	full
304		P16	L4	T0	C13	full
305	0.143175133	P01	L4	T0	C12	full
306	0.134877908	P02	L4	T0	C12	half
307	0.127779908	P03	L4	T0	C12	full
308	0.128249282	P04	L4	T0	C12	half
309	0.141111343	P05	L4	T0	C12	half
310	0.15909556	P06	L4	T0	C12	full
311		P07	L4	T0	C12	full
312	0.130434783	P08	L4	T0	C12	full
313		P09	L4	T0	C12	half
314	0.151856569	P10	L4	T0	C12	half
315	0.136363636	P11	L4	T0	C12	half
316		P12	L4	T0	C12	half
317	0.12937128	P13	L4	T0	C12	half
318		P14	L4	T0	C12	full
319	0.133431548	P15	L4	T0	C12	full
320		P16	L4	T0	C12	full
321	0.117647059	P01	L4	T1	C13	full
322	0.082570594	P02	L4	T1	C13	half
323		P03	L4	T1	C13	full
324	0.075523289	P04	L4	T1	C13	half
325	0.083647549	P05	L4	T1	C13	half
326	0.122699387	P06	L4	T1	C13	full
327	0.13153545	P07	L4	T1	C13	full
328	0.120962016	P08	L4	T1	C13	full
329	0.063727886	P09	L4	T1	C13	half
330		P10	L4	T1	C13	half
331	0.076212242	P11	L4	T1	C13	half
332	0.075266673	P12	L4	T1	C13	half
333		P13	L4	T1	C13	half
334	0.124488046	P14	L4	T1	C13	full
335		P15	L4	T1	C13	full
336		P16	L4	T1	C13	full
337	0.131847634	P01	L4	T1	C12	full
338	0.091704344	P02	L4	T1	C12	half
339	0.216666667	P03	L4	T1	C12	full
340	0.063034188	P04	L4	T1	C12	half
341	0.070791254	P05	L4	T1	C12	half
342	0.144535388	P06	L4	T1	C12	full
343		P07	L4	T1	C12	full
344	0.128397547	P08	L4	T1	C12	full
345		P09	L4	T1	C12	half
346	0.091396278	P10	L4	T1	C12	half
347	0.084867579	P11	L4	T1	C12	half
348		P12	L4	T1	C12	half
349	0.091684839	P13	L4	T1	C12	half
350		P14	L4	T1	C12	full
351	0.128033556	P15	L4	T1	C12	full
352		P16	L4	T1	C12	full
