"DATE"	"TIME"	"FRAC_DAYS_SINCE_JAN1"	"FRAC_HRS_SINCE_JAN1"	"EPOCH_TIME"	"ALARM_STATUS"	"INST_STATUS"	"CavityPressure"	"CavityTemp"	"WarmBoxTemp"	"DasTemp"	"OutletValve"	"HR_12CH4"	"HR_12CH4_dry"	"HR_Delta_iCH4_Raw"	"HR_Delta_iCH4_30s"	"HR_Delta_iCH4_2min"	"HR_Delta_iCH4_5min"	"ChemDetect"	"H2O"	"X12CO2"	"X12CO2_dry"	"X13CO2"	"Delta_Raw_iCO2"	"Delta_30s_iCO2"	"Delta_2min_iCO2"	"Delta_5min_iCO2"
"2018-06-13"	"19:56:15.306"	163.49739939	3923.937585	1528919775.307	0	963	147.99530432	44.999046326	44.996879578	30.3125	32088.049794	1.8863160549	1.8875729539	-53.402873677	-46.5880098	-45.293581698	-43.671751653	0	0.042564543545	402.74881783	403.04806615	4.5187296494	-2.2967049952	-1.6385484842	-2.1460186546	-3.2679574422
"2018-06-13"	"19:56:15.803"	163.49740514	3923.937723	1528919775.804	0	963	147.9994812	44.999046326	44.996879578	30.3125	32090.865234	1.8863160549	1.8875729539	-53.402873677	-46.5880098	-45.293581698	-43.671751653	0	0.042564543545	402.77904115	403.07587202	4.5190413919	-2.2967049952	-1.6385484842	-2.1460186546	-3.2679574422
"2018-06-13"	"19:56:16.302"	163.49741091	3923.937862	1528919776.303	0	963	148.00294383	44.999046326	44.996879578	30.3125	32095.190347	1.8863160549	1.8875729539	-53.402873677	-46.5880098	-45.293581698	-43.671751653	0	0.042564543545	402.77904115	403.07587202	4.5201314252	-2.0560500186	-1.9108479271	-2.1519009852	-3.2352915694
"2018-06-13"	"19:56:17.536"	163.49742519	3923.938204	1528919777.536	0	963	148.0003321	44.999046326	44.996879578	30.291276042	32094.700651	1.8867109173	1.8879578242	-46.441099271	-46.655254568	-45.390978833	-43.759594646	0	0.043149117486	402.77904115	403.07587202	4.5201314252	-2.0560500186	-1.9108479271	-2.1519009852	-3.2352915694
"2018-06-13"	"19:56:18.792"	163.49743972	3923.938553	1528919778.792	0	963	147.99707361	44.999046326	44.996879578	30.3125	32091.39134	1.8867109173	1.8879578242	-46.441099271	-46.655254568	-45.390978833	-43.759594646	0	0.043149117486	402.77904115	403.07587202	4.5201314252	-2.0560500186	-1.9108479271	-2.1519009852	-3.2352915694
"2018-06-13"	"19:56:19.296"	163.49744556	3923.938693	1528919779.296	0	963	147.9967804	44.999046326	44.996879578	30.3125	32090.982422	1.8867109173	1.8879578242	-46.441099271	-46.655254568	-45.390978833	-43.759594646	0	0.043149117486	403.02481575	403.32591291	4.5229354077	-2.0560500186	-1.9108479271	-2.1519009852	-3.2352915694
"2018-06-13"	"19:56:19.799"	163.49745139	3923.938833	1528919779.8	0	963	148.00010938	44.998810234	44.996772263	30.268543956	32093.825628	1.8867109173	1.8879578242	-46.441099271	-46.655254568	-45.390978833	-43.759594646	0	0.043149117486	403.02481575	403.32591291	4.5220941736	-2.241660551	-2.0513020254	-2.1403507005	-3.1911506393
"2018-06-13"	"19:56:21.063"	163.49746602	3923.939184	1528919781.064	0	963	148.00069145	44.998710632	44.99672699	30.266666667	32094.714726	1.8848204877	1.8860832886	-50.393166703	-47.409246622	-45.551438023	-43.840301075	0	0.043410885955	403.02481575	403.32591291	4.5220941736	-2.241660551	-2.0513020254	-2.1403507005	-3.1911506393
"2018-06-13"	"19:56:22.407"	163.49748157	3923.939558	1528919782.408	0	963	147.99983769	44.998710632	44.99672699	30.250915751	32093.113689	1.8848204877	1.8860832886	-50.393166703	-47.409246622	-45.551438023	-43.840301075	0	0.043410885955	403.02481575	403.32591291	4.5220941736	-2.241660551	-2.0513020254	-2.1403507005	-3.1911506393
"2018-06-13"	"19:56:22.894"	163.49748721	3923.939693	1528919782.895	0	963	148.00273132	44.998710632	44.99672699	30.3125	32095.464844	1.8848204877	1.8860832886	-50.393166703	-47.409246622	-45.551438023	-43.840301075	0	0.043410885955	403.36977595	403.67296137	4.5259852845	-2.241660551	-2.0513020254	-2.1403507005	-3.1911506393
"2018-06-13"	"19:56:23.397"	163.49749302	3923.939833	1528919783.397	0	963	148.00125508	44.998710632	44.99672699	30.279990842	32094.804501	1.8848204877	1.8860832886	-50.393166703	-47.409246622	-45.551438023	-43.840301075	0	0.043410885955	403.36977595	403.67296137	4.5272583891	-1.9610032565	-1.9282999239	-2.1220171411	-3.1530498144
"2018-06-13"	"19:56:24.651"	163.49750753	3923.940181	1528919784.651	0	963	147.99995419	44.998544693	44.996671677	30.25	32094.272209	1.8845738674	1.8858441797	-43.542911963	-46.946358819	-45.437771059	-43.832568924	0	0.042768597409	403.36977595	403.67296137	4.5272583891	-1.9610032565	-1.9282999239	-2.1220171411	-3.1530498144
"2018-06-13"	"19:56:25.989"	163.49752302	3923.940553	1528919785.989	0	963	147.9986921	44.998252869	44.996574402	30.25	32093.123955	1.8845738674	1.8858441797	-43.542911963	-46.946358819	-45.437771059	-43.832568924	0	0.042768597409	403.36977595	403.67296137	4.5272583891	-1.9610032565	-1.9282999239	-2.1220171411	-3.1530498144
